SpecOD,TECAN_NE3_OD
3.75,1.77579999
1.875,1.334300041
0.9375,0.877600014
0.4688,0.559800029
0.2344,0.332700014
0.1172,0.203799993
0.0586,0.139899999
3.75,1.81340003
1.875,1.334100008
0.9375,0.895099998
0.4688,0.552900016
0.2344,0.325199991
0.1172,0.194600001
0.0586,0.141399994
3.75,1.728099942
1.875,1.309900045
0.9375,0.869700015
0.4688,0.544799984
0.2344,0.321200013
0.1172,0.202700004
0.0586,0.142700002
3.75,1.814100027
1.875,1.317899942
0.9375,0.888800025
0.4688,0.55369997
0.2344,0.332500011
0.1172,0.208700001
0.0586,0.142900005