"BioSpecID","metal","env_metal_concentration","growth_rate"
"Ca 2","Ca",2,0.403604115070938
"Ca 0.05","Ca",0.05,0.379763832738143
"Ca 5","Ca",5,0.402091274449497
"Ca 0.01","Ca",0.01,0.33703867249092
"Ca 5","Ca",5,0.398535006520562
"Ca 0.1","Ca",0.1,0.395981915468038
"Ca 0.02","Ca",0.02,0.351719920523648
"Ca 0.05","Ca",0.05,0.371328460296613
"Ca 0","Ca",0,0.300339204339196
"Ca 0.2","Ca",0.2,0.38670794868718
"Ca 0.1","Ca",0.1,0.375697443307107
"Ca 0.01","Ca",0.01,0.310786161812623
"Ca 0.5","Ca",0.5,0.397284896844163
"Ca 0.2","Ca",0.2,0.398699101420929
"Ca 0.02","Ca",0.02,0.339209155396588
"Ca 2","Ca",2,0.393933882092979
"Ca 0","Ca",0,0.289471182388454
"Ca 0.5","Ca",0.5,0.396581508185611
"Fe 0.01","Fe",0.01,0.388678871614929
"Fe 0.5","Fe",0.5,0.406498378329566
"Cu 0.01","Cu",0.01,0.36212042823091
"Cu 100","Cu",100,0.343159357613837
"Fe 0.1","Fe",0.1,0.388569587642319
"Fe 10","Fe",10,0.38055681605606
"Cu 5","Cu",5,0.375065730951727
"Fe 0.02","Fe",0.02,0.388073667699829
"Fe 2","Fe",2,0.384313448371679
"Cu 0.02","Cu",0.02,0.36534911849107
"Cu 2","Cu",2,0.365024363136845
"Fe 0","Fe",0,0.387937261354399
"Fe 0.2","Fe",0.2,0.385104604437153
"Fe 20","Fe",20,0.362850384919362
"Cu 0.05","Cu",0.05,0.365450196564415
"Cu 10","Cu",10,0.366552151406065
"Fe 0.05","Fe",0.05,0.391464956976163
"Fe 5","Fe",5,0.397638567728842
"Cu 0.05","Cu",0.05,0.375148614165164
"Cu 5","Cu",5,0.381997918533633
"Fe 0.5","Fe",0.5,0.402002822980695
"Fe 50","Fe",50,0.376305920412256
"Cu 0.1","Cu",0.1,0.376859471510304
"Cu 20","Cu",20,0.359393572671931
"Fe 0.1","Fe",0.1,0.400625615184041
"Fe 10","Fe",10,0.393369027802601
"Cu 0.1","Cu",0.1,0.39967313140358
"Cu 10","Cu",10,0.400152695284818
"Fe 0.01","Fe",0.01,0.39711572733853
"Fe 2","Fe",2,0.409929581088791
"Cu 0","Cu",0,0.321667648653915
"Cu 0.2","Cu",0.2,0.385023034013829
"Cu 50","Cu",50,0.351544820608457
"Fe 20","Fe",20,0.368918593460322
"Cu 0.2","Cu",0.2,0.368677699627394
"Cu 20","Cu",20,0.359789289795903
"Fe 0.02","Fe",0.02,0.388784997626353
"Fe 5","Fe",5,0.383750569098492
"Cu 0.01","Cu",0.01,0.350910177763091
"Cu 0.5","Cu",0.5,0.369367632806317
"Cu 100","Cu",100,0.348341697415646
"Fe 0.2","Fe",0.2,0.40586874863514
"Fe 50","Fe",50,0.378888780990965
"Cu 0","Cu",0,0.329579620752566
"Cu 0.5","Cu",0.5,0.396527833341588
"Cu 50","Cu",50,0.360703792084786
"Fe 0.05","Fe",0.05,0.408168990450799
"Cu 0.02","Cu",0.02,0.394272495136489
"Cu 2","Cu",2,0.375946128635964
"Fe 0","Fe",0,0.400973031055624
"Mo 0.2","Mo",0.2,0.188927839182592
"Mo 20","Mo",20,0.165848833044366
"Cu 0","Cu",0,0.330809533333263
"Cu 0.2","Cu",0.2,0.382905388477988
"Fe 0.05","Fe",0.05,0.402193162501148
"Fe 5","Fe",5,0.399437394038168
"Mn 0.01","Mn",0.01,0.411095952982849
"Mn 100","Mn",100,0.388755175507147
"Mo 0.5","Mo",0.5,0.408639664776074
"Cu 0.01","Cu",0.01,0.375074491465102
"Cu 0.5","Cu",0.5,0.387222289769438
"Cu 50","Cu",50,0.352887119856853
"Fe 0.2","Fe",0.2,0.409744447379773
"Fe 10","Fe",10,0.394899490480399
"Mn 0.02","Mn",0.02,0.410697421239311
"Mn 2","Mn",2,0.401059507917032
"Mo 0","Mo",0,0.430230138433714
"Mo 2","Mo",2,0.407676762323912
"Cu 2","Cu",2,0.385869825076979
"Cu 100","Cu",100,0.350225154942512
"Fe 20","Fe",20,0.380530178898607
"Mn 0.05","Mn",0.05,0.401533271198678
"Mn 5","Mn",5,0.398974691986225
"Mo 0.01","Mo",0.01,0.427446190572497
"Mo 5","Mo",5,0.353705643061666
"Mn 0","Mn",0,0.380893369658423
"Cu 0.02","Cu",0.02,0.355801001225417
"Cu 5","Cu",5,0.369753508048919
"Fe 0","Fe",0,0.370032319875476
"Fe 0.1","Fe",0.1,0.386303619639699
"Fe 50","Fe",50,0.353708770307817
"Mn 0.1","Mn",0.1,0.417959445712558
"Mn 10","Mn",10,0.357923721817303
"Mo 0.02","Mo",0.02,0.410330691681763
"Mn 0.01","Mn",0.01,0.397192674324157
"Cu 0.05","Cu",0.05,0.378314935156691
"Cu 10","Cu",10,0.375277061107249
"Fe 0.01","Fe",0.01,0.373380909860396
"Fe 0.5","Fe",0.5,0.381477444574636
"Mn 0","Mn",0,0.390138203795267
"Mn 0.2","Mn",0.2,0.419979034622789
"Mn 20","Mn",20,0.38062988806384
"Mo 0.05","Mo",0.05,0.404599243942454
"Mo 10","Mo",10,0.348555260095941
"Mn 0.02","Mn",0.02,0.401656116751891
"Cu 0.1","Cu",0.1,0.36343048015666
"Cu 20","Cu",20,0.366184603522242
"Fe 0.02","Fe",0.02,0.394083388351598
"Fe 2","Fe",2,0.410810423788208
"Mn 0.5","Mn",0.5,0.428836312234649
"Mn 50","Mn",50,0.389325785392725
"Mo 0.1","Mo",0.1,0.406812475634094
"Mo 5","Mo",5,0.373989938723826
"Na 0","Na",0,0.415489750210726
"Mn 0.05","Mn",0.05,0.482534860487763
"Mn 5","Mn",5,0.394888859709706
"Mo 0.01","Mo",0.01,0.422392063252342
"Mo 2","Mo",2,0.414789037527847
"Mn 0.1","Mn",0.1,0.419998772931498
"Mo 0.02","Mo",0.02,0.415824868778667
"Mo 10","Mo",10,0.360863189510115
"Na 0.01","Na",0.01,0.456244113776875
"Mn 0.1","Mn",0.1,0.416669771022603
"Mn 10","Mn",10,0.388647744342471
"Mo 0.02","Mo",0.02,0.423561824645148
"Mo 5","Mo",5,0.378824117983268
"Mn 0","Mn",0,0.426490867401892
"Mn 0.2","Mn",0.2,0.426393708920009
"Mn 20","Mn",20,0.404701723083423
"Mo 0.05","Mo",0.05,0.43098755234069
"Mo 20","Mo",20,0.250735925287
"Na 0.02","Na",0.02,0.377571805364699
"Mn 20","Mn",20,0.36652801503097
"Mo 0.05","Mo",0.05,0.389931602205406
"Mn 0.01","Mn",0.01,0.395051353285277
"Mn 0.5","Mn",0.5,0.372836542446246
"Mn 50","Mn",50,0.355758066888795
"Mo 0.1","Mo",0.1,0.370823324730318
"Na 0.05","Na",0.05,0.431014439536001
"Mn 0.2","Mn",0.2,0.414960275237218
"Mn 50","Mn",50,0.388691007676847
"Mo 0.1","Mo",0.1,0.40984477923941
"Mo 10","Mo",10,0.342084507692121
"Mn 0.02","Mn",0.02,0.428334277809953
"Mn 2","Mn",2,0.404711519621387
"Mn 100","Mn",100,0.404321664793878
"Mo 0.2","Mo",0.2,0.413780713350452
"Na 0.1","Na",0.1,0.410246914949329
"Mn 0.5","Mn",0.5,0.376390703115001
"Mn 100","Mn",100,0.357054372603712
"Mo 0.2","Mo",0.2,0.383489080637921
"Mo 20","Mo",20,0.27276375387796
"Mn 0.05","Mn",0.05,0.378575543263335
"Mn 5","Mn",5,0.366606743802295
"Mo 0","Mo",0,0.392368092251112
"Mo 0.5","Mo",0.5,0.386737773658793
"Na 0.2","Na",0.2,0.405685333403482
"Mn 2","Mn",2,0.350721138449101
"Mo 0","Mo",0,0.369931897598841
"Mo 0.5","Mo",0.5,0.366066014481313
"Mn 10","Mn",10,0.353637278137919
"Mo 0.01","Mo",0.01,0.377384153377208
"Mo 2","Mo",2,0.364365579838219
"Ca 0.05","Ca",0.05,0.382267390188274
"Ca 5","Ca",5,0.413217051283259
"Zn 5","Zn",5,0.435544780728943
"Zn 50","Zn",50,0.386592940402711
"Ca 0.1","Ca",0.1,0.390662005844922
"Zn 10","Zn",10,0.398606848741232
"Zn 2","Zn",2,0.365777196340444
"Zn 100","Zn",100,0.381516746685202
"Zn 20","Zn",20,0.371108849099601
"Zn 5","Zn",5,0.382246492450305
"Ca 0","Ca",0,0.311664970180459
"Ca 0.2","Ca",0.2,0.408273691897718
"Zn 50","Zn",50,0.387600218113401
"Zn 10","Zn",10,0.385044140823935
"Ca 0.01","Ca",0.01,0.32506393369005
"Ca 0.5","Ca",0.5,0.408009335983986
"Zn 100","Zn",100,0.383571719424548
"Zn 20","Zn",20,0.382428401582223
"Ca 0.02","Ca",0.02,0.341932649780868
"Ca 2","Ca",2,0.385936122143667
"Zn 2","Zn",2,0.385112873463388
"Na 5","Na",5,0.391863262055216
"Zn 5","Zn",5,0.377052930876069
"Na 0","Na",0,0.424083838167643
"Na 0.1","Na",0.1,0.427709772754962
"Na 10","Na",10,0.40190253501074
"Zn 10","Zn",10,0.381878098874534
"Zn 100","Zn",100,0.178685350632905
"Na 0.05","Na",0.05,0.412899853520759
"Na 0.2","Na",0.2,0.423584618708126
"Zn 20","Zn",20,0.388624687928566
"Na 0.1","Na",0.1,0.4131389866164
"Na 0.02","Na",0.02,0.418554255870509
"Na 0.5","Na",0.5,0.422361943151528
"Na 20","Na",20,0.422856193494015
"Fe 0","Fe",0,0.40110477552882
"Na 0.05","Na",0.05,0.404620059238066
"Na 2","Na",2,0.398619489130538
"Na 100","Na",100,0.359031100057327
"Zn 2","Zn",2,0.373628809821721
"Fe 0","Fe",0,0.390855375228458
"Na 0.2","Na",0.2,0.392779454742722
"Na 50","Na",50,0.400556236606275
"Zn 50","Zn",50,0.38706089426397
"Mg 0.05","Mg",0.05,0.388416566788408
"Mg 5","Mg",5,0.403800601539587
"Zn 0.02","Zn",0.02,0.24146929649972
"Zn 0.1","Zn",0.1,0.275770091389657
"Zn 0.01","Zn",0.01,0.215410524911836
"Zn 0.2","Zn",0.2,0.330062197712299
"K 0.5","K",0.5,0.394934339122548
"Mg 20","Mg",20,0.414798151876527
"Mg 0.1","Mg",0.1,0.389911916056992
"Mg 10","Mg",10,0.405607538065053
"Zn 0.01","Zn",0.01,0.218592425285805
"Zn 0.2","Zn",0.2,0.348444551820059
"K 0.5","K",0.5,0.379965103314261
"Zn 0.01","Zn",0.01,0.240824380875076
"Zn 0.5","Zn",0.5,0.393223024665027
"K 2","K",2,0.404069347512108
"Mg 0.2","Mg",0.2,0.39374461222778
"Mg 50","Mg",50,0.400567098580593
"Mg 0.2","Mg",0.2,0.377478880244423
"Mg 20","Mg",20,0.380340574185432
"Zn 0.5","Zn",0.5,0.388558980032246
"K 2","K",2,0.396771865281383
"Zn 100","Zn",100,0.158463906529593
"K 5","K",5,0.40440404855312
"Mg 0.5","Mg",0.5,0.385696310885938
"Mg 0.5","Mg",0.5,0.390180119313434
"Mg 50","Mg",50,0.390433208044739
"Mo 50","Mo",50,0.0960963298057009
"Zn 0.01","Zn",0.01,0.235816949595038
"Zn 100","Zn",100,0.395033418173416
"K 5","K",5,0.415664902863635
"Zn 0.02","Zn",0.02,0.235579157611659
"K 0.1","K",0.1,0.275348665110823
"K 10","K",10,0.412513054739781
"Mg 2","Mg",2,0.393810069371876
"Mo 100","Mo",100,0.103534128877907
"Zn 0.02","Zn",0.02,0.236708205299233
"K 0.1","K",0.1,0.270903885516364
"K 10","K",10,0.405257278178793
"Zn 0.05","Zn",0.05,0.27061150770581
"K 0.2","K",0.2,0.337312610349713
"Mg 0.05","Mg",0.05,0.372499894030585
"Mg 5","Mg",5,0.391701841895611
"Mg 2","Mg",2,0.390611363024051
"Zn 0.05","Zn",0.05,0.264590559235444
"K 0.2","K",0.2,0.335196596353727
"Zn 0.02","Zn",0.02,0.264369024165234
"Zn 0.1","Zn",0.1,0.303458816592019
"Mg 0.1","Mg",0.1,0.376752685062007
"Mg 10","Mg",10,0.390551417040098
